,text,review,polarity_score,polarity
11,biarlah enggak bisa kemana yang penting aku tidak mau di vaksin aku hanya percaya kepada allah dia yang menghidupkan ku dia juga mematikan ku dia yang membuatku sakit dia juga yang menyembuhkan ku lahaulawala quataillabilla,"['biarlah', 'enggak', 'bisa', 'kemana', 'yang', 'penting', 'aku', 'tidak', 'mau', 'di', 'vaksin', 'aku', 'hanya', 'percaya', 'kepada', 'allah', 'dia', 'yang', 'menghidupkan', 'ku', 'dia', 'juga', 'mematikan', 'ku', 'dia', 'yang', 'membuatku', 'sakit', 'dia', 'juga', 'yang', 'menyembuhkan', 'ku', 'lahaulawala', 'quataillabilla']",-33,negatif
12,korona adalah penyakit yang dibuat buat oleh manusia bejat dan terkutuk,"['korona', 'adalah', 'penyakit', 'yang', 'dibuat', 'buat', 'oleh', 'manusia', 'bejat', 'dan', 'terkutuk']",-15,negatif
13,korona adalah penyakit mafia yang dibut buat oleh orang orang tertentu dan dijadikan lahan bisnis mudah mudahan allah mengutuk orang orang yang terlibat didalamnya,"['korona', 'adalah', 'penyakit', 'mafia', 'yang', 'dibut', 'buat', 'oleh', 'orang', 'orang', 'tertentu', 'dan', 'dijadikan', 'lahan', 'bisnis', 'mudah', 'mudahan', 'allah', 'mengutuk', 'orang', 'orang', 'yang', 'terlibat', 'didalamnya']",-8,negatif
14,setelah vaksi ke yaitu vaksin covid booster akankah ada vaksin selanjutnya dan dinamakan vaksin covid apa lagi,"['setelah', 'vaksi', 'ke', 'yaitu', 'vaksin', 'covid', 'booster', 'akankah', 'ada', 'vaksin', 'selanjutnya', 'dan', 'dinamakan', 'vaksin', 'covid', 'apa', 'lagi']",-5,negatif
15,anjing kayak anak ayam disuntik divaksin terus siap siap buat surat wasiat warga indonesia,"['anjing', 'kayak', 'anak', 'ayam', 'disuntik', 'divaksin', 'terus', 'siap', 'siap', 'buat', 'surat', 'wasiat', 'warga', 'indonesia']",-3,negatif
16,wih fitnah dajal makin nyata,"['wih', 'fitnah', 'dajal', 'makin', 'nyata']",-6,negatif
17,darah jadi beku mau bagi cepat matiii dipersilakan cucuk,"['darah', 'jadi', 'beku', 'mau', 'bagi', 'cepat', 'matiii', 'dipersilakan', 'cucuk']",1,positif
18,yang gratis saja susah di srh vaksin kok bayar pasti deh enggak berangkat,"['yang', 'gratis', 'saja', 'susah', 'di', 'srh', 'vaksin', 'kok', 'bayar', 'pasti', 'deh', 'enggak', 'berangkat']",-10,negatif
19,setuju aku juga tidak pernah dan akan ambil vaksin salam dari malaysua,"['setuju', 'aku', 'juga', 'tidak', 'pernah', 'dan', 'akan', 'ambil', 'vaksin', 'salam', 'dari', 'malaysua']",-11,negatif
20,wah bisninya sudah keluar semoga sukses,"['wah', 'bisninya', 'sudah', 'keluar', 'semoga', 'sukses']",1,positif
21,pemerintah juga harus perhatikan terima kasih cina yang masuk indonesia harus sudah di vaksin kalau belum iya harus diminta kembali ke negaranya ingat bahwa indonesia milik warga negara negara bukan milik cina,"['pemerintah', 'juga', 'harus', 'perhatikan', 'terima', 'kasih', 'cina', 'yang', 'masuk', 'indonesia', 'harus', 'sudah', 'di', 'vaksin', 'kalau', 'belum', 'iya', 'harus', 'diminta', 'kembali', 'ke', 'negaranya', 'ingat', 'bahwa', 'indonesia', 'milik', 'warga', 'negara', 'negara', 'bukan', 'milik', 'cina']",-22,negatif
22,woy enggak perlu di vaksin kaya nya ini politik deh aduh umur orang jangan di maenin sudah enggak perlu di vaksin saya,"['woy', 'enggak', 'perlu', 'di', 'vaksin', 'kaya', 'nya', 'ini', 'politik', 'deh', 'aduh', 'umur', 'orang', 'jangan', 'di', 'maenin', 'sudah', 'enggak', 'perlu', 'di', 'vaksin', 'saya']",-2,negatif
23,cuan,['cuan'],0,positif
24,laris manis pemimpin yang biadab jualan vaksin rakyat jadi korban iya allah turun kan boleh azab kepada pemimpin yang biadab hanya kepada mu boleh aku memohon pertolongan karena engkau boleh diatas maha segala nya,"['laris', 'manis', 'pemimpin', 'yang', 'biadab', 'jualan', 'vaksin', 'rakyat', 'jadi', 'korban', 'iya', 'allah', 'turun', 'kan', 'boleh', 'azab', 'kepada', 'pemimpin', 'yang', 'biadab', 'hanya', 'kepada', 'mu', 'boleh', 'aku', 'memohon', 'pertolongan', 'karena', 'engkau', 'boleh', 'diatas', 'maha', 'segala', 'nya']",-12,negatif
25,berita vaksin jangan sampai di ramaikan lagi pura saja enggak tahu pura tuli dan pura buta kalo enggak kita mau vaksin yang keberapa bahkan aku sendiri sudah vaksin yang masak mau di vaksin lagi jangan hiraukan lama nanti juga lenyap sendiri dan satu harus pintar jaga diri kalo hanya sakit biasa henti jangan kerumah sakit supaya tidak heboh lagi kasus korona cukup beli obat di apotik,"['berita', 'vaksin', 'jangan', 'sampai', 'di', 'ramaikan', 'lagi', 'pura', 'saja', 'enggak', 'tahu', 'pura', 'tuli', 'dan', 'pura', 'buta', 'kalo', 'enggak', 'kita', 'mau', 'vaksin', 'yang', 'keberapa', 'bahkan', 'aku', 'sendiri', 'sudah', 'vaksin', 'yang', 'masak', 'mau', 'di', 'vaksin', 'lagi', 'jangan', 'hiraukan', 'lama', 'nanti', 'juga', 'lenyap', 'sendiri', 'dan', 'satu', 'harus', 'pintar', 'jaga', 'diri', 'kalo', 'hanya', 'sakit', 'biasa', 'henti', 'jangan', 'kerumah', 'sakit', 'supaya', 'tidak', 'heboh', 'lagi', 'kasus', 'korona', 'cukup', 'beli', 'obat', 'di', 'apotik']",-90,negatif
26,rakyat sudah pintar,"['rakyat', 'sudah', 'pintar']",1,positif
27,alhamdulillah saya tidak mau di vaksin,"['alhamdulillah', 'saya', 'tidak', 'mau', 'di', 'vaksin']",1,positif
28,siapa benrtanggung jawab sapek ada apa apa,"['siapa', 'benrtanggung', 'jawab', 'sapek', 'ada', 'apa', 'apa']",-8,negatif
29,ujung ujung bisnis,"['ujung', 'ujung', 'bisnis']",-3,negatif
30,ini saa allah allhamdulillah aku dan keluarge sht cukup lah dengan dos vaksin semoge allah merahmati dan me lindungi kte semue amin yarabalalamin,"['ini', 'saa', 'allah', 'allhamdulillah', 'aku', 'dan', 'keluarge', 'sht', 'cukup', 'lah', 'dengan', 'dos', 'vaksin', 'semoge', 'allah', 'merahmati', 'dan', 'me', 'lindungi', 'kte', 'semue', 'amin', 'yarabalalamin']",6,positif
31,vaksin terus sampai lengan pada lubang semua,"['vaksin', 'terus', 'sampai', 'lengan', 'pada', 'lubang', 'semua']",-11,negatif
32,sedang berlangsung eliminasi besar ran yang nurut dan mampu bertahan maka dia akan tetap menetap,"['sedang', 'berlangsung', 'eliminasi', 'besar', 'ran', 'yang', 'nurut', 'dan', 'mampu', 'bertahan', 'maka', 'dia', 'akan', 'tetap', 'menetap']",-2,negatif
33,nanti muncul lagi vaksin kolbog bacadari belakang,"['nanti', 'muncul', 'lagi', 'vaksin', 'kolbog', 'bacadari', 'belakang']",-7,negatif
34,dari sumber dajjal who dllnya telah menyusun rapi strategi dan jadual bahawa pandemic akan berterusan sehingga dajjal ini hendak menguasai dan menaklukki dunia dan mengurangkan populasi dunia maka ummah wajiblah mengikut sunnah nabi muhammad saw berhati dan berwaspada dengan permainan dajjal yang bermaharajalela aamiiinnnnnnx,"['dari', 'sumber', 'dajjal', 'who', 'dllnya', 'telah', 'menyusun', 'rapi', 'strategi', 'dan', 'jadual', 'bahawa', 'pandemic', 'akan', 'berterusan', 'sehingga', 'dajjal', 'ini', 'hendak', 'menguasai', 'dan', 'menaklukki', 'dunia', 'dan', 'mengurangkan', 'populasi', 'dunia', 'maka', 'ummah', 'wajiblah', 'mengikut', 'sunnah', 'nabi', 'muhammad', 'saw', 'berhati', 'dan', 'berwaspada', 'dengan', 'permainan', 'dajjal', 'yang', 'bermaharajalela', 'aamiiinnnnnnx']",-7,negatif
35,masa kesehatan wargaya bayar,"['masa', 'kesehatan', 'wargaya', 'bayar']",-2,negatif
36,aku mau vaksin sudah sabar,"['aku', 'mau', 'vaksin', 'sudah', 'sabar']",11,positif
37,apa tujuan nx vaksin kenpa vaksin di kategorikan,"['apa', 'tujuan', 'nx', 'vaksin', 'kenpa', 'vaksin', 'di', 'kategorikan']",-3,negatif
38,bisnis lagi,"['bisnis', 'lagi']",0,positif
39,di luar saja gratis,"['di', 'luar', 'saja', 'gratis']",1,positif
40,hai,['hai'],3,positif
41,biasa nya musim hujan ada nya demam berdarah tapi sekarang kalah iya sama sih corona hahaha,"['biasa', 'nya', 'musim', 'hujan', 'ada', 'nya', 'demam', 'berdarah', 'tapi', 'sekarang', 'kalah', 'iya', 'sama', 'sih', 'corona', 'hahaha']",1,positif
42,anjing vaksin boster dajjal,"['anjing', 'vaksin', 'boster', 'dajjal']",-4,negatif
43,jagalah keluarga anda dari vaksinasi sekarang juga haramkan keluarga anda dari vaksinasi,"['jagalah', 'keluarga', 'anda', 'dari', 'vaksinasi', 'sekarang', 'juga', 'haramkan', 'keluarga', 'anda', 'dari', 'vaksinasi']",-3,negatif
44,amin iya allah,"['amin', 'iya', 'allah']",5,positif
45,terlaknat lah kalian semenjak banyak orang vaksin yang tadi nya sehat saja sekarang jadi penyakitan apakah ini yang di bilang untuk sehat kalian tertawa di pendritaan rayat seindo ini,"['terlaknat', 'lah', 'kalian', 'semenjak', 'banyak', 'orang', 'vaksin', 'yang', 'tadi', 'nya', 'sehat', 'saja', 'sekarang', 'jadi', 'penyakitan', 'apakah', 'ini', 'yang', 'di', 'bilang', 'untuk', 'sehat', 'kalian', 'tertawa', 'di', 'pendritaan', 'rayat', 'seindo', 'ini']",-3,negatif
46,barangsiapa yang berbuat zalim kepada saudaranya baik terhadap kehormatannya maupun sesuatu yang lainnya maka hendaklah ia meminta kehalalannya darinya hari ini juga sebelum dinar dan dirham tidak lagi ada jika ia punya amal salih maka amalannya itu akan diambil sesuai dengan kadar kezaliman yang dilakukannya dan jika ia tidak punya kebaikan maka keburukan orang yang ia zalimi itu dibebankan kepadanya hari bukhari,"['barangsiapa', 'yang', 'berbuat', 'zalim', 'kepada', 'saudaranya', 'baik', 'terhadap', 'kehormatannya', 'maupun', 'sesuatu', 'yang', 'lainnya', 'maka', 'hendaklah', 'ia', 'meminta', 'kehalalannya', 'darinya', 'hari', 'ini', 'juga', 'sebelum', 'dinar', 'dan', 'dirham', 'tidak', 'lagi', 'ada', 'jika', 'ia', 'punya', 'amal', 'salih', 'maka', 'amalannya', 'itu', 'akan', 'diambil', 'sesuai', 'dengan', 'kadar', 'kezaliman', 'yang', 'dilakukannya', 'dan', 'jika', 'ia', 'tidak', 'punya', 'kebaikan', 'maka', 'keburukan', 'orang', 'yang', 'ia', 'zalimi', 'itu', 'dibebankan', 'kepadanya', 'hari', 'bukhari']",-21,negatif
47,bisnis vaksin akibatnya harga naik pajak naik ujung nya rakyat juga yang bayar vaksin gratis tapi pajak harga serba naik sama juga bohong,"['bisnis', 'vaksin', 'akibatnya', 'harga', 'naik', 'pajak', 'naik', 'ujung', 'nya', 'rakyat', 'juga', 'yang', 'bayar', 'vaksin', 'gratis', 'tapi', 'pajak', 'harga', 'serba', 'naik', 'sama', 'juga', 'bohong']",-2,negatif
48,vaksin berguna pemerintah zalim memaksa sedar lagi ke,"['vaksin', 'berguna', 'pemerintah', 'zalim', 'memaksa', 'sedar', 'lagi', 'ke']",-3,negatif
49,jaman jokowi wak tidak ada gratis,"['jaman', 'jokowi', 'wak', 'tidak', 'ada', 'gratis']",-2,negatif
50,gratis saja malas mau vaksin apalagi bayar tidak mau,"['gratis', 'saja', 'malas', 'mau', 'vaksin', 'apalagi', 'bayar', 'tidak', 'mau']",-2,negatif
51,apa untungnya vaksin ujung nya bisnis kan dan tidak ada jaminan,"['apa', 'untungnya', 'vaksin', 'ujung', 'nya', 'bisnis', 'kan', 'dan', 'tidak', 'ada', 'jaminan']",-7,negatif
52,besok keluar baru diatas boster monsters hahahaa,"['besok', 'keluar', 'baru', 'diatas', 'boster', 'monsters', 'hahahaa']",-3,negatif
53,henti sda jangan sampai murkah tuhan datang,"['henti', 'sda', 'jangan', 'sampai', 'murkah', 'tuhan', 'datang']",-10,negatif
54,lebih baik beli gas lagi naik daripada beli vaksin,"['lebih', 'baik', 'beli', 'gas', 'lagi', 'naik', 'daripada', 'beli', 'vaksin']",-5,negatif
55,bisnis vaksin covid berkibar dan meraup untung besar,"['bisnis', 'vaksin', 'covid', 'berkibar', 'dan', 'meraup', 'untung', 'besar']",7,positif
56,youtu be lsgosqbcxs,"['youtu', 'be', 'lsgosqbcxs']",0,positif
57,aku dibayar saja enggak mau apalagii suruh bayar mengakak ora uruss,"['aku', 'dibayar', 'saja', 'enggak', 'mau', 'apalagii', 'suruh', 'bayar', 'mengakak', 'ora', 'uruss']",-2,negatif
58,menyimak saja sukses selalu salam sejuta sodara,"['menyimak', 'saja', 'sukses', 'selalu', 'salam', 'sejuta', 'sodara']",0,positif
59,yes semoga saya cepat dapat vaksin ini biar makin kuat imunitas saya,"['yes', 'semoga', 'saya', 'cepat', 'dapat', 'vaksin', 'ini', 'biar', 'makin', 'kuat', 'imunitas', 'saya']",-4,negatif
60,kalau mau mewajibkan harusnya gratis kalau berbayar jangan tunjukkan kalau mau bisnis akibat pandemi ini kami sulit cari uang warung kopi kecil di tutup mall di buka entar bukan pandemi yang mengurangi populasi manusia tapi masalah ekonomi yang menguranginya entar banyak orang mati kelaparan tingkat kriminal meningkat merampok mencuri membunuh karena cari yang benar sudah banyak aturan ayolah kalian pasti lebih pintar dari kami jangan cuma pikirin cuan tapi pikirin kami yang menggaji kalian yang berjas berdasi dan duduk di kursi itu apa cuma itu keahlian kalian dalam bertahan di dunia ini ingat di dunia ini enggak akan lama waktunya kelak kalian akan menerima akibatnya,"['kalau', 'mau', 'mewajibkan', 'harusnya', 'gratis', 'kalau', 'berbayar', 'jangan', 'tunjukkan', 'kalau', 'mau', 'bisnis', 'akibat', 'pandemi', 'ini', 'kami', 'sulit', 'cari', 'uang', 'warung', 'kopi', 'kecil', 'di', 'tutup', 'mall', 'di', 'buka', 'entar', 'bukan', 'pandemi', 'yang', 'mengurangi', 'populasi', 'manusia', 'tapi', 'masalah', 'ekonomi', 'yang', 'menguranginya', 'entar', 'banyak', 'orang', 'mati', 'kelaparan', 'tingkat', 'kriminal', 'meningkat', 'merampok', 'mencuri', 'membunuh', 'karena', 'cari', 'yang', 'benar', 'sudah', 'banyak', 'aturan', 'ayolah', 'kalian', 'pasti', 'lebih', 'pintar', 'dari', 'kami', 'jangan', 'cuma', 'pikirin', 'cuan', 'tapi', 'pikirin', 'kami', 'yang', 'menggaji', 'kalian', 'yang', 'berjas', 'berdasi', 'dan', 'duduk', 'di', 'kursi', 'itu', 'apa', 'cuma', 'itu', 'keahlian', 'kalian', 'dalam', 'bertahan', 'di', 'dunia', 'ini', 'ingat', 'di', 'dunia', 'ini', 'enggak', 'akan', 'lama', 'waktunya', 'kelak', 'kalian', 'akan', 'menerima', 'akibatnya']",-75,negatif
61,saking harus nya di vaksin yang belum di vaksin sampai di cari sampai di kejar polisi sama aparat desa ya allah seram,"['saking', 'harus', 'nya', 'di', 'vaksin', 'yang', 'belum', 'di', 'vaksin', 'sampai', 'di', 'cari', 'sampai', 'di', 'kejar', 'polisi', 'sama', 'aparat', 'desa', 'ya', 'allah', 'seram']",-15,negatif
62,enggak butu vaksin saya butuh lapangan kerja,"['enggak', 'butu', 'vaksin', 'saya', 'butuh', 'lapangan', 'kerja']",-3,negatif
63,vacsin deh cukup terima kasih,"['vacsin', 'deh', 'cukup', 'terima', 'kasih']",-2,negatif
64,maaf aku enggak mau sampaibkapan pemerintah bisnis vaksin,"['maaf', 'aku', 'enggak', 'mau', 'sampaibkapan', 'pemerintah', 'bisnis', 'vaksin']",7,positif
65,bodo amat,"['bodo', 'amat']",-1,negatif
66,vksin lagi yang kemarin saja bikin badan tiba drop gmpng cpek pusing lemas tnaga olhrga juga enggak se kuat dulu,"['vksin', 'lagi', 'yang', 'kemarin', 'saja', 'bikin', 'badan', 'tiba', 'drop', 'gmpng', 'cpek', 'pusing', 'lemas', 'tnaga', 'olhrga', 'juga', 'enggak', 'se', 'kuat', 'dulu']",-17,negatif
67,waspodo sengkolo putih,"['waspodo', 'sengkolo', 'putih']",-4,negatif
68,suka suka kalian kalian punya kuasa yang banya sesat di buat tolol sama china kalau tidak sadar diri,"['suka', 'suka', 'kalian', 'kalian', 'punya', 'kuasa', 'yang', 'banya', 'sesat', 'di', 'buat', 'tolol', 'sama', 'china', 'kalau', 'tidak', 'sadar', 'diri']",-6,negatif
69,kspan berahir nya terus menerus di vaksin,"['kspan', 'berahir', 'nya', 'terus', 'menerus', 'di', 'vaksin']",0,positif
70,amin tawakal allawlloh,"['amin', 'tawakal', 'allawlloh']",3,positif
71,enggak butuh vaksin apalagi beli,"['enggak', 'butuh', 'vaksin', 'apalagi', 'beli']",-6,negatif
72,saya enggak di vaksin juga sehat sehat saja anti vaksin,"['saya', 'enggak', 'di', 'vaksin', 'juga', 'sehat', 'sehat', 'saja', 'anti', 'vaksin']",-2,negatif
73,vaksin vaksin vaksin namun masalah pandemi tidak juga usai,"['vaksin', 'vaksin', 'vaksin', 'namun', 'masalah', 'pandemi', 'tidak', 'juga', 'usai']",-13,negatif
74,kalo harus bayar iya enggak tahu karena orang dengan harga ribu bisa buat makin bukan untuk vaksin coba di proses lagi deh,"['kalo', 'harus', 'bayar', 'iya', 'enggak', 'tahu', 'karena', 'orang', 'dengan', 'harga', 'ribu', 'bisa', 'buat', 'makin', 'bukan', 'untuk', 'vaksin', 'coba', 'di', 'proses', 'lagi', 'deh']",-8,negatif
75,tinggal tunggu azab allah saja karena semakin drama bisnis di terusin iya kisah nabi nuh akan semakin dekat untuk menghanyutkan para sampah bumi ini,"['tinggal', 'tunggu', 'azab', 'allah', 'saja', 'karena', 'semakin', 'drama', 'bisnis', 'di', 'terusin', 'iya', 'kisah', 'nabi', 'nuh', 'akan', 'semakin', 'dekat', 'untuk', 'menghanyutkan', 'para', 'sampah', 'bumi', 'ini']",-9,negatif
76,dagang lagi ya,"['dagang', 'lagi', 'ya']",1,positif
77,kapan mulai nya booster,"['kapan', 'mulai', 'nya', 'booster']",1,positif
78,tidak mau saya mah di vaksin lagi,"['tidak', 'mau', 'saya', 'mah', 'di', 'vaksin', 'lagi']",-7,negatif
79,bisnis pemerintah semoga ganti presiden,"['bisnis', 'pemerintah', 'semoga', 'ganti', 'presiden']",6,positif
80,hentikan vaksin,"['hentikan', 'vaksin']",0,positif
81,ijin share terima kasih,"['ijin', 'share', 'terima', 'kasih']",3,positif
82,enggak butuh,"['enggak', 'butuh']",-5,negatif
83,vaksin terbaik adalah beriman kepada allah,"['vaksin', 'terbaik', 'adalah', 'beriman', 'kepada', 'allah']",13,positif
84,vaksin terus juga boleh kira sampai di tembak enggak mempan,"['vaksin', 'terus', 'juga', 'boleh', 'kira', 'sampai', 'di', 'tembak', 'enggak', 'mempan']",-5,negatif
85,ke entah entar esok adakah kedst enggak tahu juga ini,"['ke', 'entah', 'entar', 'esok', 'adakah', 'kedst', 'enggak', 'tahu', 'juga', 'ini']",-4,negatif
86,mentrinya ahli ekonoml tapi bukan dokter iya,"['mentrinya', 'ahli', 'ekonoml', 'tapi', 'bukan', 'dokter', 'iya']",-3,negatif
87,rakyat sudah padae derita belum lagi di tambah bencana alam alam pun sudah murka apa lagi mau bayar vaksin mati kena covid enggak mala mati kena vaksin nanti,"['rakyat', 'sudah', 'padae', 'derita', 'belum', 'lagi', 'di', 'tambah', 'bencana', 'alam', 'alam', 'pun', 'sudah', 'murka', 'apa', 'lagi', 'mau', 'bayar', 'vaksin', 'mati', 'kena', 'covid', 'enggak', 'mala', 'mati', 'kena', 'vaksin', 'nanti']",-32,negatif
88,mau sampai kapan vaksin berhenti negara ku sudah vaksin ini mau vaksin lagi jadi apa ini badan kena vaksin terus,"['mau', 'sampai', 'kapan', 'vaksin', 'berhenti', 'negara', 'ku', 'sudah', 'vaksin', 'ini', 'mau', 'vaksin', 'lagi', 'jadi', 'apa', 'ini', 'badan', 'kena', 'vaksin', 'terus']",-6,negatif
89,negara tidak boleh berbisnis dengan rakyatnya vaksin tidak ada gunanya hanya buat jalan,"['negara', 'tidak', 'boleh', 'berbisnis', 'dengan', 'rakyatnya', 'vaksin', 'tidak', 'ada', 'gunanya', 'hanya', 'buat', 'jalan']",-9,negatif
90,saya seram banget sih karena dalam jangka panjang jika terus menerus divaksin akan merusak kekebalan tubuh takut nya begitu karena saya sudah vaksin cacar dari kecil saya vaksin lagi kalo banget vaksin apa iya kalo masih bisa kena resiko penularan corona manding vaksin aku kok vaksin terus sampai kapan,"['saya', 'seram', 'banget', 'sih', 'karena', 'dalam', 'jangka', 'panjang', 'jika', 'terus', 'menerus', 'divaksin', 'akan', 'merusak', 'kekebalan', 'tubuh', 'takut', 'nya', 'begitu', 'karena', 'saya', 'sudah', 'vaksin', 'cacar', 'dari', 'kecil', 'saya', 'vaksin', 'lagi', 'kalo', 'banget', 'vaksin', 'apa', 'iya', 'kalo', 'masih', 'bisa', 'kena', 'resiko', 'penularan', 'corona', 'manding', 'vaksin', 'aku', 'kok', 'vaksin', 'terus', 'sampai', 'kapan']",-31,negatif
91,gratis saja orang malas apalagi bayar,"['gratis', 'saja', 'orang', 'malas', 'apalagi', 'bayar']",-5,negatif
92,vaksin iblis,"['vaksin', 'iblis']",-4,negatif
93,jadi kalau punya bpjs kis bisa dapat vaksin booster gratis begitu iya,"['jadi', 'kalau', 'punya', 'bpjs', 'kis', 'bisa', 'dapat', 'vaksin', 'booster', 'gratis', 'begitu', 'iya']",5,positif
94,vksn harus di bayar,"['vksn', 'harus', 'di', 'bayar']",-7,negatif
95,kuatkan aqidah kita semua,"['kuatkan', 'aqidah', 'kita', 'semua']",-3,negatif
96,indonesia bisa buat vaksin covid kenapa ijinnya banyak yang komplin dari terawan dapat buat vaksin kalau bayar dari mana uang banyak itu ya sudah cukup vaksin untuk sajalah saya,"['indonesia', 'bisa', 'buat', 'vaksin', 'covid', 'kenapa', 'ijinnya', 'banyak', 'yang', 'komplin', 'dari', 'terawan', 'dapat', 'buat', 'vaksin', 'kalau', 'bayar', 'dari', 'mana', 'uang', 'banyak', 'itu', 'ya', 'sudah', 'cukup', 'vaksin', 'untuk', 'sajalah', 'saya']",-17,negatif
97,vaksin muncul yang baru vaksin muncul mutasi nya bisnis yang menguntungkan,"['vaksin', 'muncul', 'yang', 'baru', 'vaksin', 'muncul', 'mutasi', 'nya', 'bisnis', 'yang', 'menguntungkan']",-11,negatif
98,nenek nenek pada faksin bikin umur tambah panjang itu semua kehendak allah mau di faksin mau tidak sama saja bagi saya,"['nenek', 'nenek', 'pada', 'faksin', 'bikin', 'umur', 'tambah', 'panjang', 'itu', 'semua', 'kehendak', 'allah', 'mau', 'di', 'faksin', 'mau', 'tidak', 'sama', 'saja', 'bagi', 'saya']",2,positif
99,negara yang ikut vaksin mana saja,"['negara', 'yang', 'ikut', 'vaksin', 'mana', 'saja']",-11,negatif
100,wkwkwkw iya sudah enggak usah booster kalau mahal,"['wkwkwkw', 'iya', 'sudah', 'enggak', 'usah', 'booster', 'kalau', 'mahal']",-4,negatif
